Año,Vehiculo,Costes Totales,Indice_Base_100
2017,Articulado Carga General,124657.95999999999,100.0
2017,Articulado Carga General-Internacional,177279.84,100.0
2017,Cisterna Alimentación,140617.6,100.0
2017,Cisterna M.Peligrosas-Gases Glp,136534.27,100.0
2017,Cisterna M.Peligrosas-Químicos,140220.87,100.0
2017,Cisterna P. Pulverulentos,143979.97,100.0
2017,Frigorífico,133981.15,100.0
2017,Frigorífico (2 Ejes),80395.48,100.0
2017,Frigorífico (Internacional),187591.27,100.0
2017,Furgoneta,47321.65,100.0
2017,Portacontenedores,108777.89,100.0
2017,Portavehículos,149371.84,100.0
2017,Portavehículos Industriales,153235.46,100.0
2017,Rígido Animales Vivos (3 Ejes),102517.01,100.0
2017,Rígido Carga General (2 Ejes),81098.49,100.0
2017,Rígido Carga General (3 Ejes),92309.53,100.0
2017,Rígido Distribución (2 Ejes),63600.899999999994,100.0
2017,Tren De Carretera,122494.52,100.0
2017,Volquete Graneles,122553.09999999999,100.0
2017,Volquete Obra,95610.49,100.0
2018,Articulado Carga General,129684.4,104.03218534941531
2018,Articulado Carga General-Internacional,185794.04,104.80268935260773
2018,Cisterna Alimentación,145964.79,103.80264632592223
2018,Cisterna M.Peligrosas-Gases Glp,141123.41,103.36116346467448
2018,Cisterna M.Peligrosas-Químicos,144969.3,103.38639319524974
2018,Cisterna P. Pulverulentos,149412.19,103.77289979988188
2018,Frigorífico,139814.04,104.3535154012337
2018,Frigorífico (2 Ejes),83498.54000000001,103.85974435378706
2018,Frigorífico (Internacional),196995.47,105.01313307383656
2018,Furgoneta,48585.32,102.67038448574806
2018,Portacontenedores,113106.28,103.97910825444399
2018,Portavehículos,155425.71,104.05288573803469
2018,Portavehículos Industriales,159726.08,104.23571671987672
2018,Rígido Animales Vivos (3 Ejes),106385.11,103.77312994204573
2018,Rígido Carga General (2 Ejes),84154.3,103.76802330105038
2018,Rígido Carga General (3 Ejes),95721.91,103.69667140543343
2018,Rígido Distribución (2 Ejes),65688.33,103.28207619703495
2018,Tren De Carretera,127939.67,104.44521926368624
2018,Volquete Graneles,127549.37,104.07682057818204
2018,Volquete Obra,98705.6,103.23720754908796
2019,Articulado Carga General,130371.89,104.58368643285998
2019,Articulado Carga General-Internacional,187187.1,105.58848654195536
2019,Cisterna Alimentación,146881.33,104.45444240265797
2019,Cisterna M.Peligrosas-Gases Glp,142245.01,104.18264220404154
2019,Cisterna M.Peligrosas-Químicos,146093.66,104.18824244921603
2019,Cisterna P. Pulverulentos,150385.22,104.44870908085339
2019,Frigorífico,140536.51,104.89274797238268
2019,Frigorífico (2 Ejes),84158.55,104.68069846712775
2019,Frigorífico (Internacional),198426.49,105.77597241065642
2019,Furgoneta,49249.86,104.07468885805969
2019,Portacontenedores,113752.3,104.57299732509979
2019,Portavehículos,156309.87,104.64480453611604
2019,Portavehículos Industriales,160530.83,104.76088889608188
2019,Rígido Animales Vivos (3 Ejes),107091.31,104.46199123443027
2019,Rígido Carga General (2 Ejes),84761.74,104.51703848000129
2019,Rígido Carga General (3 Ejes),96392.08,104.42267445192279
